radlex_code,preferred_description
RID7765,T8 vertebral body
RID7766,T9 vertebral body
RID7760,T3 vertebral body
RID7767,T10 vertebral body
RID7764,T7 vertebral body
RID7769,T12 vertebral body
RID7761,T4 vertebral body
RID7762,T5 vertebral body
RID7768,T11 vertebral body
RID7763,T6 vertebral body
RID21907,trunk of fifth lumbar nerve
RID21640,trunk of left external laryngeal nerve to left inferior pharyngeal constrictor
RID48231,left semimembranosus
RID50324,PI-RADS X - T2WI PZ Inadequate or absent
RID27588,right superior olivary complex
RID15076,medial dorsal digital branch of ulnar nerve to middle finger
RID24336,c7 branch to right spinalis capitis
RID43055,left rhomboid major
RID33693,mucosa of ureter
RID36974,multiform layer of left Brodmann area 10
RID10278,spiral prominence of external surface of cochlear duct
RID48699,skin of plantar part of left fourth toe
RID39940,lateral part of posterior compartment of forearm
RID19653,medial longitudinal fasciculus of medulla
RID16365,set of superior branches of transverse cervical nerve
RID18669,anterior root of left thoracic nerve
RID19978,nerve to sternohyoid
RID30868,posterior renal segment
RID21598,trunk of communicating branch of auricular branch of left vagus nerve with left facial nerve
RID31906,left lumbar lymph node group proper
RID48789,dorsal nail matrix of second toe
RID30222,anterior wall of pyloric canal
RID25971,brodmann area 7 of posterior segment of right paracentral lobule
RID36717,internal granular layer of left temporal lobe
RID37006,internal granular layer of left Brodmann area 12
RID46597,belly of left coracobrachialis
RID26178,brodmann area 32 of limbic lobe
RID46489,c7 ventral column nucleus of long thoracic nerve
RID50395,TNM tumor stage assessment
RID46094,trunk of anterior division of anterior ramus of fifth cervical nerve
RID37316,multiform layer of left Brodmann area 28
RID21712,trunk of branch of recurrent laryngeal nerve to thyroarytenoid
RID44912,right variant superficial cervical artery
RID34924,apical segmental bronchus
RID33040,pararenal fat
RID38475,posterior radicular branch of spinal branch of left third lumbar artery
RID32470,seventh thoracic rotator
RID20745,nucleus prepositus
RID15026,fourth common palmar digital nerve
RID24154,lateral branch of posterior ramus of first sacral nerve
RID10791,MR tissue contrast attribute
RID19433,neuroglial network of white matter of L4 segment
RID20891,paralemniscal nucleus
RID17183,white matter of medial frontal lobe
RID32643,posterior surface of tail of pancreas
RID28521,peribronchovascular interstitium
RID47779,trunk of long thoracic branch of right fifth cervical nerve
RID39320,anterior intercavernous sinus
RID42090,surface of neck of scapula
RID47111,distal segment of C7 root of left median nerve
RID45378,peripheral segment of left inferior subscapular nerve
RID39057,genital system
RID26919,t7 segment of right substantia gelatinosa
RID22885,posterior ramus of seventh cervical nerve
RID15405,nerve to tibialis posterior
RID38485,muscular branch of lateral branch of dorsal branch of right second lumbar artery
RID35212,fish vertebra
RID49581,US-RF
RID37706,external pyramidal layer of left Brodmann area 49
RID6785,brachium of superior colliculus
RID6786,brachium of inferior colliculus
RID6784,inferior colliculus
RID6783,superior colliculus
RID6780,posterior perforated substance
RID6789,commissure of inferior colliculus
RID6788,nucleus of inferior colliculus
RID6782,tectal lamina
RID6787,nucleus of superior colliculus
RID6781,midbrain tectum
RID14799,pulmonary branch of vagus nerve
RID37426,internal pyramidal layer of right Brodmann area 34
RID21610,trunk of vagal branch to left tympanic membrane
RID25132,descending branch of meningeal branch of left ninth thoracic nerve
RID34327,speed descriptor
RID37275,internal pyramidal layer of left Brodmann area 26
RID49486,F2: abnormal-insignificant
RID15459,nerve to left abductor hallucis
RID37537,internal granular layer of right Brodmann area 40
RID47421,inferior subscapular nerve component of superior trunk segment of right fifth cervical nerve
RID18697,anterior root of left third sacral nerve
RID19152,rootlet of left first sacral nerve
RID20353,gray matter of left lateral occipital gyrus
RID19448,neuronal component of cerebellum
RID22013,trunk of nerve to left longus capitis
RID28515,lymphoid interstitial pneumonia
RID41496,tendon of left flexor carpi radialis
RID45281,central segment of lateral femoral cutaneous nerve
RID41268,tendon of longus colli
RID35521,scimitar sign
RID30851,lamina of mesentery
RID44063,peripheral segment of right first thoracic spinal nerve
RID47713,medial pectoral nerve component of trunk of anterior ramus of first thoracic nerve
RID31636,mesothelium of serosa of large intestine
RID16227,set of long association fibers of telencephalon
RID44855,muscular branch of right inferior thyroid artery
RID37806,right Brodmann area 3a
RID26729,segment of vestibular nuclear complex
RID30670,base of gastric gland
RID32922,left uterotubal orifice
RID275,prepuce of clitoris
RID2755,articular cartilage of lateral femoral condyle
RID2752,articular surface of knee joint
RID2750,odd articular facet of patella
RID2753,lateral compartment of knee
RID2751,knee joint
RID2756,medial compartment of knee
RID2754,articular cartilage of lateral condyle of tibia
RID2758,articular cartilage of medial femoral condyle
RID2759,patellofemoral joint
RID2757,articular cartilage of medial condyle of right tibia
RID29200,third thoracic vertebra
RID9909,superficial part of masseter muscle
RID990,right lower lobe lateral segment artery
RID9902,transverse muscle of tongue
RID9905,lateral pterygoid muscle
RID9904,muscle of mastication
RID9900,superior longitudinal muscle of tongue
RID9908,masseter muscle
RID9907,inferior head of lateral pterygoid muscle
RID9903,vertical muscle of tongue
RID9901,inferior longitudinal muscle of tongue
RID9906,superior head of lateral pterygoid muscle
RID34234,"inferior temporal gyrus, temporoccipital part (TO3)"
RID43183,fourth lumbrical of hand
RID42182,posterior surface of supraspinal part of body of right scapula
RID24433,t5 branch to right semispinalis capitis
RID49687,soft
RID22272,trunk of obturator internus branch of left sacral plexus
RID33632,surface of sigmoid colon
RID38690,Telebrix 350
RID26416,left secondary visual cortex
RID3562,Reiter syndrome
RID356,periprostatic venous plexus
RID3561,rheumatoid arthritis
RID3565,crystal induced arthritis
RID3560,osteoarthritis deformans
RID3567,gout arthritis
RID3563,deforming nonerosive arthropathy
RID10045,vomeronasal organ
RID17681,internal genu of left facial nerve
RID31327,set of paracolic lymphatic vessels of sigmoid colon
RID31941,common hepatic lymph node group
RID30663,lesser curvature of stomach (line)
RID31153,diaphragmatic surface of spleen
RID34636,polycystic kidney disease
RID45776,glomerular filtration rate
RID49936,set of cervical spine vessels
RID40705,belly of third plantar interosseous of foot
RID14199,cutaneous branch of right supratrochlear nerve to right upper eyelid
RID16418,set of sacral ganglia
RID19621,short cerebral association nerve fasciculus of left cerebral white matter
RID37926,intervertebral tributary of second lumbar vein
RID27615,white matter of temporal segment of fusiform gyrus
RID22064,trunk of medial antebrachial cutaneous nerve
RID20658,left nucleus of optic tract
RID45834,AutomatedProcessingStart
RID34402,C sign
RID19027,posterior rootlet of left tenth thoracic nerve
RID34184,brodmann area 6 of ventral part of precentral gyrus
RID32861,renal lobe of left kidney
RID13970,left paraterminal gyrus
RID15629,gray matter of forebrain
RID16036,vasculature of L1 segment of spinal cord
RID16852,gray matter of T12 segment of spinal cord
RID13691,brodmann area 18 of right parahippocampal gyrus
RID25563,internal oblique branch of hypogastric branch of left iliohypogastric nerve
RID31430,wall of proximal part of jejunum
RID38048,second lumbar vein
RID39457,heterogeneous enhancement
RID38913,stroma of transition zone of prostate
RID17994,left lateral longitudinal stria
RID14378,left sublingual nerve
RID22717,gray matter of left uncus
RID47653,medial antebrachial cutaneous nerve component of trunk of anterior division of anterior ramus of right first thoracic nerve
RID47682,medial brachial cutaneous nerve component of inferior trunk segment of left first thoracic nerve
RID39039,additional location
RID13958,right fasciolar gyrus
RID16578,neural network of region of limb
RID14825,meningeal branch of hypoglossal nerve to diploe of occipital bone
RID39891,epiphysis of right humerus
RID14654,communicating branch of left glossopharyngeal nerve with left chorda tympani
RID14110,left superior parietal lobule
RID27283,c3 segment of dorsal gray column of spinal cord
RID28909,hemidiaphragm
RID11192,topical
RID49954,saline
RID44483,trunk of right lateral thoracic artery
RID16744,neural network of anterior lobe of prostate
RID39762,proximal epiphysis of right fibula
RID39983,lower edge of crest of spine of left scapula
RID21062,right inferior vestibular nucleus
RID28351,dura mater of posterior rootlet of left fifth cervical nerve
RID33337,pelvic part proper of peritoneal cavity
RID25879,left Brodmann area 36
RID15340,bulbospongiosus branch of perineal nerve
RID37509,plexiform layer of right Brodmann area 39
RID28660,acquisition
RID29099,set of organ zones
RID32706,internal surface of uterine tube proper
RID36387,third right superior hypophysial artery
RID22640,trunk of left subcostal nerve
RID23514,muscular branch of tenth intercostal nerve
RID42357,head of flexor digitorum accessorius
RID34589,coarctation of aorta
RID36774,internal granular layer of primary motor cortex
RID16515,neural network
RID21132,gracile nucleus of spinal cord
RID24598,nerve to splenius
RID33953,purkinje cell layer of segment of cerebellar cortex
RID44412,central segment of left first thoracic spinal nerve
RID35360,magnification sign
RID34025,c2 segment of right anterior corticospinal tract
RID17587,central tegmental tract of midbrain
RID38645,subdivision of surface of zygomatic bone
RID16870,medulla of left hemisphere of anterior lobe of cerebellum
RID41704,tendon of fourth palmar interosseous of right hand
RID43069,right subscapularis
RID13811,body of fourth ventricle
RID23463,branch of left seventh intercostal nerve to left rectus abdominis
RID30040,subdivision of urogenital part of female perineum
RID43237,distal region of right brachialis
RID48317,area of insertion of pes anserinus
RID39700,proximal epiphysis of fifth metacarpal bone
RID26876,c2 segment of right substantia gelatinosa
RID25953,brodmann area 5 of posterior segment of right paracentral lobule
RID15855,branch of superior subscapular nerve
RID32184,lumen of segment of minor calyx
RID39947,palm compartment of left hand
RID45260,central segment of right subclavian nerve
RID486,left coronary artery
RID4861,fluid disorder
RID4860,bronchoesophageal fistula
RID4867,cardiogenic pulmonary edema
RID4865,edema
RID4863,congestion
RID4868,hypervolemic pulmonary edema
RID4866,pulmonary edema
RID4869,hypoproteinemic pulmonary edema
RID22345,trunk of levator ani muscle branch of right perineal nerve
RID37728,internal granular layer of left Brodmann area 50
RID21078,posterior cochlear nucleus
RID45336,peripheral segment of musculocutaneous nerve
RID48705,skin of dorsal part of right big toe
RID47576,superior subscapular nerve component of trunk of left fifth cervical nerve
RID47129,middle anterior division segment of C7 root of left median nerve
RID46664,posterior region of medial condyle of right tibia
RID35004,angle sign
RID47070,distal segment of C6 root of right median nerve
RID29632,multilaminar epithelium
RID31094,mucosa of body of stomach
RID36097,conjunctival tributary of superior ophthalmic vein
RID47112,median nerve component of trunk of anterior ramus of seventh cervical nerve
RID28010,medial proper plantar digital nerve of second toe
RID40939,left palmar intercarpal ligament
RID39216,costoclavicular compartment
RID13576,segment of Brodmann area 42
RID41876,diaphysis of right second metatarsal bone
RID49955,portion of amniotic fluid
RID36964,external pyramidal layer of right Brodmann area 10
RID10535,focused grid
RID43748,nerve to pisotriquetral joint
RID13816,ventricular system of telencephalon
RID22804,fourth intercostal nerve
RID31835,medullary ray of right kidney
RID21619,trunk of pharyngeal branch of right vagus nerve to pharyngeal nerve plexus
RID27144,t7 segment of nucleus proprius of spinal cord
RID48509,space of anterior compartment of thigh
RID13356,radial digital nerve to ring finger
RID36631,left side of genu of corpus callosum
RID29931,upper inner quadrant of breast
RID50535,Jones view
RID19192,middle mediastinal segment of phrenic nerve
RID14217,left nasociliary nerve
RID20301,gray matter of right orbital gyrus
RID45775,In-111
RID44468,central segment of left second sacral spinal nerve
RID26824,gray matter of ventral part of precentral gyrus
RID16763,neural network of bony part of left second metacarpal bone
RID44223,preganglionic segment of posterior root of right fourth thoracic spinal nerve
RID30307,region of muscle layer of biliary tree
RID37104,internal pyramidal layer of left Brodmann area 17
RID31926,left gastro-epiploic lymph node group
RID23199,c7 root of left long thoracic nerve
RID49679,distance from nipple
RID43618,Ferguson view
RID45534,t1 root of medial pectoral nerve
RID47145,subdivision of lateral root trunk of median nerve
RID39103,inferoseptal
RID20260,caudate lobe branch of hepatic plexus
RID45321,peripheral segment of great auricular nerve
RID43864,distal tendon of left vastus intermedius
RID45421,root of musculocutaneous nerve
RID37270,internal granular layer of Brodmann area 26
RID10011,muscle of palate
RID14283,inferior palpebral branch of right infraorbital nerve
RID25588,scrotal branch of genital branch of genitofemoral nerve
RID42292,upper head of right lateral pterygoid
RID16356,set of gingival branches of mental nerve
RID25856,right Brodmann area 25
RID42298,oblique head of left adductor hallucis
RID49241,area of insertion of adductor magnus
RID17103,white matter of left temporal lobe proper
RID48340,distal tendon of left gracilis
RID12197,superior laryngeal nerve
RID23245,white communicating ramus of right subcostal nerve
RID45021,branch of thoracodorsal artery
RID24593,cutaneous branch of lateral branch of posterior ramus of right third lumbar nerve
RID18959,anterior rootlet of third lumbar nerve
RID30685,wall of bile duct
RID40592,belly of flexor hallucis brevis
RID37115,external pyramidal layer of Brodmann area 18
RID36798,internal pyramidal layer of Brodmann area 1
RID50131,stereoscopy
RID47746,suprascapular nerve component of anterior root of right fifth cervical nerve
RID49535,set of cerebral sinuses
RID21872,trunk of left fifth thoracic nerve
RID41359,tendon of right multifidus lumborum
RID15941,neural tissue of right vagus nerve
RID41428,tendon of right medial rectus
RID23185,c6 branch to right scalenus medius
RID18112,fimbria of right hippocampus
RID13850,supraoptic crest
RID38680,Cystografin
RID25042,ascending branch of meningeal branch of fourth thoracic nerve
RID19243,nerve to gluteus maximus (n)
RID43983,right anterior interosseous vein
RID22176,trunk of anterior branch of lateral femoral cutaneous nerve
RID24261,muscular branch of medial branch of posterior ramus of spinal nerve
RID49910,mastectomy
RID38517,ventral branch of right fourth lumbar artery
RID47882,thoracodorsal nerve nucleus of right dorsal column
RID45340,peripheral segment of right median nerve
RID31818,outer stripe of renal pyramid of left kidney
RID44800,left fifth anterior intercostal artery
RID533,second posterolateral branch of circumflex artery
RID5335,cryptogenic organizing pneumonia
RID5331,desquamative interstitial pneumonia
RID5339,respiratory broncholitis associated interstitial lung disease
RID5330,acute interstitial pneumonia
RID5333,usual interstitial pneumonia
RID37583,lamina of Brodmann area 43
RID725,parotid branch of posterior auricular artery
RID7254,second proper palmar digital nerve
RID7250,first common palmar digital nerve
RID7251,proper palmar pollicis digital nerve
RID7255,third common palmar digital nerve
RID7257,radial nerve
RID7253,second common palmar digital nerve
RID7258,posterior brachial cutaneous nerve
RID7256,third proper palmar digital nerve
RID18527,parvocellular part of right red nucleus
RID38591,autoimmune disease
RID40856,ulnar collateral ligament of right elbow
RID10404,embolization
RID18393,pectoralis minor branch of right lateral pectoral nerve
RID39290,NX lymph node stage
RID31100,ileocecal orifice
RID37158,internal granular layer of left Brodmann area 20
RID11848,ruthenium
RID22266,trunk of gemellus superior branch of left sacral plexus
RID48383,proximal tendon of extensor digitorum longus to second toe
RID37164,multiform layer of left Brodmann area 20
RID23389,nerve to right third internal intercostal muscle
RID27964,lateral dorsal digital branch of right radial nerve to right ring finger
RID36997,plexiform layer of left Brodmann area 12
RID39783,trochlea of right humerus
RID40495,belly of oblique head of right adductor pollicis
RID46608,proximal region of muscle body of right vastus intermedius
RID11029,embolization track closure technique
RID40593,belly of right flexor hallucis brevis
RID39512,free lower limb
RID41290,tendon of right psoas major
RID24959,transverse branch of meningeal branch of ninth thoracic nerve
RID38688,ioxithalamate
RID35275,hilum overlay sign
RID20431,posterior median eminence
RID30873,serous sac
RID38646,subdivision of surface of clavicle
RID28860,splenic lymph node
RID44279,preganglionic segment of posterior root of right fifth sacral spinal nerve
RID46665,posterior region of medial condyle of left tibia
RID36314,anastomosing meningeal branch of right internal carotid artery
RID48349,proximal tendon of left adductor brevis
RID50114,mediolateral oblique view
RID23491,nerve to right ninth external intercostal muscle
RID16198,set of spino-olivary fibers
RID11100,epidural route
RID28377,dura mater of posterior rootlet of sixth thoracic nerve
RID26679,extraventricular part of head of left hippocampus
RID20568,right centromedian nucleus
RID17715,medulla oblongata segment of right corticospinal tract
RID13185,set of peripheral nerves
RID21993,trunk of deep medial branch of cervical nerve plexus
RID35611,target sign of brain
RID29949,central region of breast
RID23969,lateral branch of posterior ramus of left seventh cervical nerve
RID13664,brodmann area 11 of right straight gyrus
RID27305,t1 segment of dorsal gray column of spinal cord
RID18754,posterior root of left eleventh thoracic nerve
RID25169,descending branch of meningeal branch of left third sacral nerve
RID16202,set of tecto-olivary fibers
RID43125,right extensor pollicis brevis
RID22928,posterior ramus of lumbar nerve
RID21317,trunk of left trigeminal nerve
RID16005,vasculature of cervical segment of spinal cord
RID15353,sphincter urethrovaginalis branch of right perineal nerve
RID24136,medial branch of posterior ramus of right first sacral nerve
RID38842,posterior lobe of prostate
RID24785,t4 branch to left longissimus cervicis
RID19812,right first sacral spinal ganglion
RID17897,segment of posterior spinocerebellar tract
RID29954,subareolar region of left breast
RID29025,superimposed image
RID39006,right submandibular gland
RID16128,nerve to right serratus anterior (2)
RID50255,intralaryngeal
RID39196,pharyngeal conduit
RID21185,nucleus of origin of first thoracic spinal nerve
RID11217,calibrated microspheres
RID17961,t10 segment of posterior spinocerebellar tract
RID13945,right long insular gyrus
RID31461,diaphragmatic constriction of esophagus
RID29046,zone of heart
RID46907,posterior cord segment of C5 root of right radial nerve
RID19679,left fasciculus interfascicularis
RID16315,set of posterior labial nerves
RID41452,tendon of left omohyoid
RID15210,medial muscular branch of radial nerve to triceps brachii
RID28163,dura mater of posterior root of seventh cervical nerve
RID36031,BI-RADS Category 4A: Low suspicion for malignancy
RID42561,femoral triangle part of surface of right pectineus
RID38212,interlobar branch of inferior segmental renal artery
RID32833,medial inguinal fossa
RID36675,right superior cerebellar vein
RID46255,lower subscapular nerve branch of posterior division of anterior ramus of left fifth cervical nerve
RID38679,MD-Gastroview
RID28137,dura mater of anterior root of right fourth sacral nerve
RID20826,inferior linear nucleus
RID23295,lateral cutaneous branch of left fourth intercostal nerve
RID39375,zone of investing fascia of upper limb
RID10359,tomosynthesis
RID18945,anterior rootlet of left tenth thoracic nerve
RID15492,nerve to right flexor accessorius
RID18728,posterior root of third thoracic nerve
RID20420,left occipital pole
RID30505,connective tissue of peritoneum of posterior wall of lesser sac
RID37159,internal pyramidal layer of Brodmann area 20
RID17300,white matter of left simple lobule of cerebellum
RID32945,anterior wall of sigmoid colon
RID15746,right paramedian medullary reticular complex
RID48808,nail bed of third toe
RID26330,brodmann area 44 of left inferior frontal gyrus
RID21495,trunk of superficial buccal branch of facial nerve to right depressor septi
RID33550,longitudinal muscle layer of pyloric canal
RID47809,trunk of long thoracic branch of left seventh cervical nerve
RID41966,surface of head of humerus
RID27135,t4 segment of nucleus proprius of spinal cord
RID5201,optic nerve drusen
RID5202,tumoral calcinosis
RID5207,fluorosis
RID5205,hemochromatosis
RID5206,transfusional siderosis
RID5203,iron overload
RID5209,"iron in mass, more than liver"
RID5208,pigment deposition
RID44623,spinal branch of vertebral artery
RID14195,conjunctival branch of supratrochlear nerve
RID30365,stroma of right lobe of liver
RID22148,trunk of genitofemoral nerve
RID48942,skin of lateral part of left fourth toe
RID29279,lumen of cardia of stomach
RID35320,jet phenomenon
RID48836,plantar nail matrix of right big toe
RID14324,left anterior deep temporal nerve
RID36803,multiform layer of left Brodmann area 1
